DOC CODE,DOC DESCRIPTION,PROP,FIRST PARTY,SECOND PARTY,AMOUNT,COMMENTS
CD,CORRECTION OF DEED,O,borrower (sig.),"lender (beneficiary, payable to order of)",N,
CODT,CORRECTION OF DEED OF TRUST,O,borrower (sig.),"lender (beneficiary, payable to order of)",N,
CD,CORRECTION OF DEED (THIS CAN BE ANY TYPE OF DEED),O,borrower (sig.),"lender (beneficiary, payable to order of)",N,
BI,BOND TO INDEMNIFY,O,principal & surety (being bonded & guaranteeing bond),bound unto,N,
AB,ABANDONMENT  ,O,party abandoning (sig.),"abandoned to, if given, otherwise ""PUBLIC""",N,
WAN,ABANDONMENT OF ASSUMED NAME (Or WITHDRAWAL OF),O,signatory party ,Business name withdrawn from,N,
ABC,ABANDONMENT OF CONDOMINIUM,O,party abandoning (sig.) & Condominium ,"abandoned to, if given, otherwise ""PUBLIC""",N,
REW,ABANDONMENT OF EASEMENT,O,signatory party ,released to,N,
AOA,ABSTRACT OF ASSESSMENT,O,party assessing (usually the STATE),assessed upon employer/party,N,
AJ,ABSTRACT OF JUDGMENT,O,"party recovering Judgment, IF there is a Transferred to Party, they would also be keyed",recovered Against,O,
AC,ACCEPTANCE,O,party accepting (sig.),"accepted from, if given, otherwise ""PUBLIC""",N,
AK,ACKNOWLEDGEMENT,O,"party acknowledging (sig,.)","acknowledged unto, if given, otherwise ""PUBLIC""",N,
LS,ACKNOWLEDGMENT OF EXERCISED OPTION TO EXTEND LEASE,O,signatory party (lessor),Current lessee,N,"IF Lessor does not sign, change Type to = AK Grantor-signature        Grantee- other party"
OGL ,"ACKNOWLEDGMENT OF EXERCISED OPTION TO EXTEND OIL, GAS (MINERAL) LEASE.",O,signatory party (lessor),Current lessee,N,"IF Lessor does not sign, change Type to = AK Grantor-signature        Grantee- other party"
LS,"ACKNOWLEDGMENT OF PAYMENT, EXTENSION OF TERM & RATIFICATION OF LEASE.",O,signatory party (lessor),Current lessee,N,"IF Lessor does not sign, change Type to = AK Grantor-signature        Grantee- other party"
